Review,Date
The food was not worth the price the girl made the crepe so lazily it was watery and was basically just a pancake and the sandwich was charred and just tasted burnt it's only good when the senora is there she is super nice and puts a lot of effort into it and got it to us fast the girl put no effort and took super long,"Sep 10, 2024"
Gotta say for my fist time coming to this coffee shop I was amazed not only by the great customer service but how good and authentic the abuelita ice latte tasted. I will be coming back. Support your local small businesses.,"Jul 22, 2024"
"We were highly recommended coffee and chisme from a close friend. Since we were in the area, we just had to go here.
Cute establishment and love the idea of the chisme jar. The menu had plenty of options and as I am not a coffee or much of a caffeine drinker, I was immediately drawn to the thrifties ice cream. Being as chocolate chip is my absolute favorite, I saw they had it and knew I had to get it.

Line was a bit long which was fine since coffee spots like this tend to draw long lines and the air was uncomfortably hot inside. When it was our turn to order, I went first and asked for a scoop of chocolate chip ice cream. The young girl behind the counter said cookies and cream? And I repeated myself and said chocolate chip. She looked me straight in the eyes and said we don't have that. It's either cookies and cream or full chocolate. I let her know that there was chocolate chip in the ice cream freezer and that the tub was labeled chocolate chip. And she said she knows but it's not chocolate chip. I was taken back because it just seemed like she wanted to prove her point instead of ask me questions like ""oh can you show me?"" So me being frustrated said nevermind I don't want anything and stepped aside to let the rest of my family order.
My husband saw what happened and knew I was bothered by this and offered to try to still get it for me. Sweet man. When he ordered it, he walked over to the freezer and pointed to the chocolate chip and was told by the young girl that it was pastachio. And when my husband said the one next to it was pastachio ( we could clearly tell it's pistachio icecream) he was ""corrected"" and said it was mint icecream. He figured since she confirmed chocolate chip was called pistachio in her eyes, he ordered the ""pistachio"". My family ordered two pistachios(not knowing the young girl was confused by the icecream flavors). When it was time for her to scoop out icecream, she scooped 3 chocolate chip icecream. My sister in law pointed out to her that it's supposed to be pistachio and the girl told her that's what it is. I walked up and pointed to the chocolate chip and said it's chocolate chip and the next one is pistachio. One of the other employees I think heard a bit of what was going on and kindly stepped in. He advised to her she was scooping the wrong ice cream and was able to finish helping us out with the correct order.
So after a 20 minute wait, no apologies and terrible manners by the young lady who ran the cashier, this left a bad taste in our mouths. After the rest of my family tried their coffees, they were disappointed as well. 2/10 would not recommend. (The 2 is for the chisme jar idea)","Aug 25, 2024"
Order the spicy chicken chipotle panini and the ice cinnamon latte and thank me later . Service was also amazing 10/10,"Apr 11, 2024"
My husband and I came a week or so ago and absolutely loved it. There is so much I can say about this place and how amazing we were treated. The staff was truly incredible and our experience there was like no other. It's a cute little spot but it also has great personality. We hope to stop by soon! I also LOVE that it very pet friendly!! Thank you Luz for the experience!,"Sep 30, 2024"
"New coffee shop in South Gate. Beautiful and clean shop with very welcoming team. Got an iced dirty chai.

Lots of nondairy alternatives and a large coffee menu. Look forward to coming back.","Nov 6, 2022"
Customer service was great! The woman who took my order was so sweet. The iced vanilla latte along with the vegan brownie I ordered was so good!,"May 23, 2024"
"Service and ambiance is great. It's a little nook with a warm feel. We tried the hazelnut waffle & crepe, which were delicious except that next time I visit I'll order the hazelnut spread on the side.","Feb 28, 2024"
Support local business this coffee shop is a must try. Best iced coffee is better than Starbucks. Service is 10/10 very welcoming and polite,"Apr 10, 2024"
"I love this place,today was my first time going,coffee is so good!!!! The chicken panini is so fire I loved it! The workers are so nice. Service was amazing!","May 17, 2024"
It is great place to get coffee every morning. Really good toast and yummy coffee. Employees are very kind!!,"May 16, 2024"
"Coffee & Chisme is the place to go for your Coffee and Chime needs! They are the BOMDIGGITY on the edge of Southgate. We had 4 strikeouts in coffee shops NOT selling Esperesso. The shop is CLEAN, the employees are SWEET and COURTEOUS.. The restroom is SPECTACULARLY clean! I HIGHLY recommend this for your MexiCali experience.","Jun 11, 2024"
Today was my first visit to this adorable coffee shop!!! I fully recommend going I purchased the lavender latte which was so good and the employees are so friendly. Wonderful place to study while enjoying a worm cup of coffee and the menu is catered to everyone from vegan to your sweet tooth.,"Mar 30, 2024"
I tried the cinnamon toast crunch iced coffee and it was good. The banana muffin was very flavorful . The chocolate croissant had a dark chocolate taste. The cafe the la olla iced coffee was great too. The ambiance was relaxing and clean. I love the decor. The service was as any other coffee shop.,"May 7, 2024"
I have been here twice and it is a little difficult to find parking since it is on a busy street but worth it! Their coffee is really good and the employees are really nice! It is a little hot inside but overall very nicely decorated and clean :),"Oct 27, 2024"
I loved the iced cafe de olla! Everyone was super friendly and quick with make our drinks.,"Sep 8, 2024"
Service is great and the food as well. Very cozy place and the ambience is just right. Need a bigger place but it's great. Chisme is also good lol,"Oct 15, 2024"
This is such a cute coffee shop. The seating is very limited but it is a great place to study and the coffee and treats I've tried so far are very good. There are outlets and wifi. They are busy but it is worth the wait.,"Apr 4, 2024"
"This is an adorable, cozy, and delish place... if searching for a refreshing drink try the lavender lemonade and the mojito mint lemonade...

If you are reminiscing on traditional abuelita try the chocolate abuelita latte ....will hit the spot

The service is great and friendly... you will enjoy the tranquility of the place...!","Apr 3, 2024"
"Great tasting coffee! We decided to try Coffee and Chisme out as it was a new spot very local to us.

The menu options are plentiful and the quality was great.

Their vanilla latte was on point. It had a nice balance of flavor and sweetness.

We will definitely be coming back to try out their crepes and waffles!","Dec 26, 2022"
"The barista was so nice, the cafe had a comfortable space for it being on the small side. I ordered the iced cafe latte and honestly the beans tasted burnt. My girlfriend had the coco puff iced coffee, if you order that wait a little bit for the cereal to really incorporate into the coffee","Jul 5, 2023"
I came to visit this quaint little shop over the weekend while visiting family. I was pleasantly surprised at this cute little shop. The ambiance was what you'd expect from going to a coffee shop on Abott Kinney in Santa Monica. The food and coffee was great as well. I ordered the strawberries and cream crepe and the cafe de olla. Love to support small businesses and this one made me happy to support knowing it is such an outstanding place in the middle of the hometown I grew up in. Definitely coming back next time I visit.,"May 24, 2023"
"I got an iced cafe de olla with oatmilk.
It tasted funky...like idk trapo sucio after taste.
The place was cute.
Parking sucked.
The lady was nice.
Will I come back? No.","Feb 25, 2023"
We got the chicken pesto panini and the mozzarella tomato basil panini. Both were really good and my friend enjoyed their coffee! We ordered pick up and they waited to make the drink so it'd be warm. But was still ready really fast,"Jul 9, 2024"
such a cute shop! the owner is so sweet as well. had the caramel frappe and it was delicious! only downside is parking but other than that its a neat place to visit with friends!,"Aug 16, 2024"
Came to this little spot had the best drink- dirty chai with oat milk and lavender it was so good. Ordered a tomato mozzarella pesto panini again so good!! Would definitely recommend this place. The service was excellent very friendly,"May 29, 2024"
"my sister ordered the crepe and chocolate abuelita and said both were delish i only tried the crepe and i can attest to it being very good !!
i ordered a ham and cheese croissant and a caramel macchiato and they were both so yummy. the croissant had both yellow and white cheese and the menu is not expensive at all in comparison to most breakfast cafes !","Jan 4, 2023"
I love this place! The workers are always so welcoming and so nice. Their white chocolate mocha is 10/10,"Aug 2, 2024"
First time here and truly enjoyed everything! I had a small iced latte and wished I had ordered a large one & the hubby got the cinnamon toast iced latte and he said it was the perfect amount of sweetness. We also tried the paninis and a plain crepe and they were just so delicious! Forgot to takes pics since we were so hungry ... till next time. Ps great service :),"Feb 2, 2023"
Not sure what espresso beans they use but the flavor is smooth. The vanilla syrup is not too sweet either. I ordered a small iced vanilla latte and it was really good. I'll be back to try a cafe de olla.,"Oct 24, 2022"
"This place is wonderful! The staff is so nice and attentive. Super cute atmosphere. They had so many drink options that my friend and I each ordered two! We had the hibiscus tea, cucumber lemonade, raspberry lemonade, and an abuelita cold brew. Each drink was amazing! I also ordered the turkey sandwich and it was delicious and perfectly toasted. The noise level is also enough for you to hear the person you're talking to but also loud enough that no one will listen to your conversation. Perfect for the chisme. We sat talking for two hours. 10/10 will come again","Jul 15, 2024"
The coffee is great! I have a picky boyfriend when it comes down to taste and he prefers the frappes better than Starbucks haha,"Nov 7, 2023"
Super cute spot ! Had the Cinnamon Toast Crunch Iced Coffee and I was not expecting actual Cinnamon Toast Crunch in my iced coffee super good ! Service is great!,"Oct 24, 2022"
I was in the area and decided to try a new coffee place and I came in yesterday however I did not have the best experience. The young girl was taking my order and I witnessed another lady screaming at her in the middle of my order which made me uncomfortable. Not only that but i got my order about 30 minutes after ordering even though it was only 2 drinks.,"Jul 31, 2024"
"I ordered the cafe de olla iced and it was delicious. The menu has so many options for drinks and food, I can't wait to go back and try something else. The two women working here when I stopped by were very friendly. One of the women was taking a picture of a drink to post on social media and after taking their pictures they gave it to us for free to try it. I believe the drink was an iced strawberry matcha, It wasn't something I would have normally ordered but it was surprisingly delicious and very nice of them to do.","Mar 30, 2023"
one of my favorite places in all of Los Angeles to get coffee. Doesn't hurt that it's close to my parent's place either.,"Nov 15, 2023"
"No good at all, is that a crepe ? We want to support local businesses but....no goodddd !!!!!","Mar 20, 2023"
Great food and the service was fast. It is a small hole in the wall and the ambience is peaceful and welcoming. Definitely recommend their red velvet cupcake. Definitely be returning.,"Jun 14, 2024"
"10/10 recommend this cute coffee shop is so good I got a pizza panini, tomato mozzarella panini and two drinks which was a cold brew & a caramel macchiato all of them were so good Ill be coming back for sure. The service was excellent she was very helpful! Thanks Veronica :)","Dec 1, 2022"
"i waited 45 mins for my coffee, just to realize they hadn't even started my order. when I finally got my coffee it was cold, it didn't have any creamer or sugar (how I ordered) and the whole time 3 employees were in the back just chatting. this place was really a let down.","Feb 10, 2024"
"First timer at coffee&chisme, and I loved it! customer service , ambiance and coffee was great. I will definitely be returning. Also a big thank you to owner for being so welcoming and giving my son extra snacks","Mar 23, 2024"
"First time trying and found their iced cafe de olla with oat milk to be delicious especially since it's been hot! I tried the tomato, mozzarella with turkey panini amazing. Second time in a couple of days and I ordered same coffee but this time went with pastries but they were a bit dry for my liking (coffee cake which owner said was popular and blueberry scone which was average). Next time I will try something else!","Jul 21, 2023"
"Disappointed and i didnt even try the coffee! Their hours state they are open M-F from 9-8pm. We went around 4pm and it was closed! Not to mention, parking is extremely limited so we struggled to park just for us to go to a different spot!","Sep 23, 2023"
Came here to try out the coffee and food. They were sweet ladies behind the counter however they failed to warn us that they were extremely backed up. It took over an hour for us to get our order. I think it's unfair to let people order without a proper warning. On top of that people who arrived after us got their food and drink before us. It seemed that whoever went up there to complain got their food/drink faster. We were trying not to be rude but after an hour it was frustrating to not even get our simple coffee orders. We finally got our order after an hour and half.,"Mar 16, 2024"
"So far I have tried the iced cafe de olla and the cold brew, definitely recommend both if you like cold coffee.","Apr 22, 2024"
"An absolute gem! Incredible coffee, sweet atmosphere, and the friendliest staff you'll ever meet. A must-visit! Spicy chicken Panini, Jalapeño bagel and cream cheese delicious!","Apr 15, 2024"
"Cute place. Was really hot when I walked in. Maybe the AC was broken. Got an iced cafe de olla, pretty good! Got a pastry as well. Nice staff.","Jul 8, 2023"
This place has really great hospitality and customer service from the ladies at front .. definitely coming back.,"Mar 30, 2024"
"I order a turkey sandwich and a horchata frappe. All I said was no red onion and no bell pepper on my sandwich. I waited more than 15 minutes and the people that came after me got their orders before me. Once I got my sandwich I left without checking because I was almost late to my appointment. When I opened my sandwich I get is a turkey and cheese bagel. I checked my receipt to see if I had order correctly and I did. If all I was ""getting"" was a turkey and cheese sandwich why did it take more than 15 minutes for it.","Apr 29, 2023"
Nice little location. Luz helped me and she was very welcoming and sweet. Ordered the Nutella tropical crepe and an iced cafe de olla with cold foam. Both very delicious! Will be coming back,"Mar 18, 2024"
"The vibes are there, clean, friendly, street parking, nice decor, drinks are always full of flavor and made right, service ten out of ten","Jan 6, 2024"
"so disappointed. it was such a cute shop and concept but the coffee tastes like sink water and no coffee taste. i got a coco puff iced latte and i was expecting the ""coffee"" itself to have some sort of coco puff flavor but it didn't and it didn't even taste like coffee. the pastries were pretty dry and stale not sure how long they were out for. they also messed up our order but the service was okay, couldn't hear anything over the loud music. sad to say that i won't be coming back.","Aug 23, 2024"
The food and service is great! I love their chicken chipotle and turkey panini both are delish. The drinks are good too! My son loves the horchata frappe and the pepperoni panini.,"May 18, 2023"
"The drinks and food are really good. The staff is wonderful and welcoming. The place looks so pretty and clean. When i went, one of their employees, Luz took my order. Best customer service! She made me feel right at home and is very sweet! I recommend getting the Horchata Latte or if you want something refreshing try their lemonades.","Mar 13, 2024"
Right down the street from me! Really cute place with tasty drinks. I'd recommend the horchata frappe.,"Oct 24, 2022"
The service and ambiance are amazing! The cafe de olla with almond milk was delicious. I came on a Friday afternoon and lots of street parking.,"May 5, 2023"
"The cafecito was and the crepes service was friendly as well. Over all a chill place. It's on state which is a busy street so depending the time you go parking might be a bit rough, we went late night so it wasn't bad.","Feb 18, 2023"
Found this place by chance need a place to stop at while waiting for my car. I love little coffee shops. Got a basic latte and a nutella tropical crepe had to substitute the strawberries with mango and wow was that yummy. The employees are nice. Glad I stopped by.,"Dec 23, 2022"
"This place is so cute and cozy great ambiance. I love that every time I come in they welcome you with a smile super nice service. Their Cafe De olla is so good one of my favorites, i recently tried their holiday drinks they where so delicious . I was also a recently winner of their giveaway that's how you know I'm a frequently visitor of theirs. Plus let's support our local cafe shops stop going to Starbucks who support Genocide.","Dec 18, 2023"
"Super cute lil coffee shop on state street. There's only street parking and it shouldn't be too hard to find. The cashier was helpful and my drinks were good.
I got an iced caramel macchiato with oat milk and two extra shots of expresso.
An iced dirty chai with oat milk and I think it comes with one shot of expresso.
And a coffee cake that was fresh and tasty. Super cute spot to check out","Jan 12, 2023"
Coffee and Crepe was quick and delicioso! Very clean. Best coffee in the area. Parking in front.,"May 20, 2023"
"Cute ""hole in the wall"" Had the Cinnamon Latte, Abuelita Latte and Hazelnut Late. Best one was the Cinnamon Latte for me. Service is very nice, even though we came almost close to closing hours.","Jan 23, 2023"
"Disappointing to go over to the store earlier because of new hours posted on Instagram but it was closed. It has happened twice to me now. Save yourself from a drive, the new hours are not true.","Aug 31, 2023"
Amazing service very nice place to sit and eat the turkey panini is very good must try! Nice ambiance,"Feb 17, 2023"
Got the coco puffs iced coffee and that was the worst iced coffee I've ever had. I literally got brown colored water with cereal it did not taste like coffee at all and it was more expensive than Starbucks.,"Apr 14, 2023"
"The cafe de olla was good but I can't say the same for the ham and cheese croissant that I ordered, it actually gave me a stomach ache. It is a cute little coffee spot I'd definitely be back for the drinks. So happy there's cute little family owned places like this opening up in the area soo much better than Starbucks.","May 18, 2023"
this is the 4th time i've shown up when it says they're open but theyre not. update your hours.,"Jan 6, 2024"
Great service and food. Small and comfortable. Nice environment to just have a small break.,"Apr 29, 2023"
Place is small but nice. The cashier has a great attitude. The drinks are awesome and prices are fair. I have enjoyed their drinks on three separate occasions. Definitely recommend this place.,"Apr 26, 2023"
"Hi everyone, I'm Tanya, a college student who goes to CSULB. When going out with friends, I happen to go to an abundance of coffee shops and they are usually average. I appreciate them, but I usually wouldn't opt for them as my first choice. I'd been wanting to try out this coffee place since I heard about them on Instagram. I can honestly say, I wasn't disappointed by the service I got. I can feel that family vibe and it really feels like everything is made by love and passion. That's a big difference from the Starbucks down the street. The design of the place is also stellar. I really like what they've done with a place that maybe isn't too big, it's a nice, comfortable area to enjoy your drink and food of choice. I will say I came in the morning around 9am so there wasn't a ton of people, but I can see this place packed at later times in the day. I wish them the very best of luck in thriving as a small family owned shop!!","Nov 5, 2022"
"I was walking along and stumbled across this place. I thought the name was really cute so I decided to check it out. Turns out that they just opened yesterday! I was happy to support a new business and got the blended matcha latte which was really good, the perfect amount of sweetness. My friend got thrifty ice cream which was super cool to see at a coffee shop! Definitely recommend stopping by.","Oct 23, 2022"
"It's a surprisingly nice place, the service and food was good. I do wish there were items like ketchup or Jelly but seeing as they are just starting, pretty good start. Overall, it was a pretty good experience. I would recommend for a quick early morning breakfast and coffee.","Dec 13, 2022"
"Such a cute coffee shop with great coffee, specifically the cafe de olla. I'm so glad I stumbled upon this gem. They were very welcoming which made my experience there perfect","Nov 11, 2022"
Super cute place and everyone is super friendly and welcoming. They have a great selection of drinks and food items at equally great prices. Love the Cinnamon Toast Crunch iced coffee and the Cafe de Olla.,"Oct 30, 2022"
"I'm sorry I don't usually make reviews but I have to for this place. I understand you are a small business that just opened up but did not have a hanging menu. I had to hurry and pick what I wanted since others wanted to see the menu too. I then saw they had an online menu. Ordered a croissant from there. The croissant online stated it would have tomato and onion. When I got my croissant, it was just ham and cheese. I ate half a slice and when I got to the other half, it had a hair in it. a curly hair. I have straight hair so I know it wasn't mine. I tried to stay positive but then I found a hair stuck to the wrapper with cheese. I couldn't eat it anymore. Ever since then when I think of this place , I have a bad taste in my mouth. I also ordered a coco puff ice coffee. It tasted like leftover milk when you eat the coco puffs. They put coco puffs on top of your drink. They were stale. This was a very bad experience. I do not recommend this place. I rather buy a drink and a food item from Starbucks.","Dec 3, 2022"
